Bandhan Nallaha (EFA),Hathilevel B.O,744202,Diglipur,NORTH AND MIDDLE ANDAMAN,ANDAMAN & NICOBAR ISLANDS
Haran Nallaha (EFA),Hathilevel B.O,744202,Diglipur,NORTH AND MIDDLE ANDAMAN,ANDAMAN & NICOBAR ISLANDS
Haridas Kattai (EFA),Hathilevel B.O,744202,Diglipur,NORTH AND MIDDLE ANDAMAN,ANDAMAN & NICOBAR ISLANDS
Hoari Bay (EFA),Kishorinagar B.O,744202,Diglipur,NORTH AND MIDDLE ANDAMAN,ANDAMAN & NICOBAR ISLANDS
Madhupur (RV),Diglipur S.O,744202,Diglipur,NORTH AND MIDDLE ANDAMAN,ANDAMAN & NICOBAR ISLANDS
Milangram (RV),Swarajgram B.O,744202,Diglipur,NORTH AND MIDDLE ANDAMAN,ANDAMAN & NICOBAR ISLANDS
Ramnagar (RV),Ramnagar B.O,744202,Diglipur,NORTH AND MIDDLE ANDAMAN,ANDAMAN & NICOBAR ISLANDS
Shibpur (RV),Aerial Bay B.O,744202,Diglipur,NORTH AND MIDDLE ANDAMAN,ANDAMAN & NICOBAR ISLANDS
Shyam Nagar (RV),Hathilevel B.O,744202,Diglipur,NORTH AND MIDDLE ANDAMAN,ANDAMAN & NICOBAR ISLANDS
Sitanagar (EFA),Sitanagar B.O,744202,Diglipur,NORTH AND MIDDLE ANDAMAN,ANDAMAN & NICOBAR ISLANDS
Tal pagan,Pashimsagar B.O,744202,Diglipur,NORTH AND MIDDLE ANDAMAN,ANDAMAN & NICOBAR ISLANDS
Aerial Bay (RV),Aerial Bay B.O,744202,Diglipur,NORTH AND MIDDLE ANDAMAN,ANDAMAN & NICOBAR ISLANDS
Austin II (EFA),Kishorinagar B.O,744202,Diglipur,NORTH AND MIDDLE ANDAMAN,ANDAMAN & NICOBAR ISLANDS
East Island,Aerial Bay B.O,744202,Diglipur,NORTH AND MIDDLE ANDAMAN,ANDAMAN & NICOBAR ISLANDS
Narkul Danga (EFA),Ramnagar B.O,744202,Diglipur,NORTH AND MIDDLE ANDAMAN,ANDAMAN & NICOBAR ISLANDS
Paranghara (RV),Kishorinagar B.O,744202,Diglipur,NORTH AND MIDDLE ANDAMAN,ANDAMAN & NICOBAR ISLANDS
Subhasgram,Diglipur S.O,744202,Diglipur,NORTH AND MIDDLE ANDAMAN,ANDAMAN & NICOBAR ISLANDS
Amber Chad (EFA),Swarajgram B.O,744202,Diglipur,NORTH AND MIDDLE ANDAMAN,ANDAMAN & NICOBAR ISLANDS
Borang (RV),Kishorinagar B.O,744202,Diglipur,NORTH AND MIDDLE ANDAMAN,ANDAMAN & NICOBAR ISLANDS
Burmachad (EFA),Hathilevel B.O,744202,Diglipur,NORTH AND MIDDLE ANDAMAN,ANDAMAN & NICOBAR ISLANDS
Jagannath Dera (RV),Kalighat B.O,744202,Diglipur,NORTH AND MIDDLE ANDAMAN,ANDAMAN & NICOBAR ISLANDS
Laxmipur (EFA),Laxmipur B.O,744202,Diglipur,NORTH AND MIDDLE ANDAMAN,ANDAMAN & NICOBAR ISLANDS
Laxmipur (RV),Laxmipur B.O,744202,Diglipur,NORTH AND MIDDLE ANDAMAN,ANDAMAN & NICOBAR ISLANDS
Mohanpur (RV),Kishorinagar B.O,744202,Diglipur,NORTH AND MIDDLE ANDAMAN,ANDAMAN & NICOBAR ISLANDS
Mutha Nallaha (EFA),Kishorinagar B.O,744202,Diglipur,NORTH AND MIDDLE ANDAMAN,ANDAMAN & NICOBAR ISLANDS
Rabindrapalli (RV),Diglipur S.O,744202,Diglipur,NORTH AND MIDDLE ANDAMAN,ANDAMAN & NICOBAR ISLANDS
Sitanagar (RV),Sitanagar B.O,744202,Diglipur,NORTH AND MIDDLE ANDAMAN,ANDAMAN & NICOBAR ISLANDS
Subhasgram Bazar,Diglipur S.O,744202,Diglipur,NORTH AND MIDDLE ANDAMAN,ANDAMAN & NICOBAR ISLANDS
